"Index Name","Date","Open","High","Low","Close"
"NIFTY PRIVATE BANK","11 Dec 2019","17243.7","17347","17149.3","17303.95"
"NIFTY PRIVATE BANK","10 Dec 2019","17388.55","17403.15","17209.85","17237.05"
"NIFTY PRIVATE BANK","09 Dec 2019","17345.8","17452.6","17235.7","17357.45"
"NIFTY PRIVATE BANK","06 Dec 2019","17575.6","17635.25","17303.45","17358.25"
"NIFTY PRIVATE BANK","05 Dec 2019","17720.2","17749.15","17483.15","17527.85"
"NIFTY PRIVATE BANK","04 Dec 2019","17437","17685.9","17380.7","17666.90"
"NIFTY PRIVATE BANK","03 Dec 2019","17643.45","17651.8","17412.85","17466.50"
"NIFTY PRIVATE BANK","02 Dec 2019","17678.3","17690.7","17543.4","17630.25"
"NIFTY PRIVATE BANK","29 Nov 2019","17670.35","17692","17542.05","17641.45"
"NIFTY PRIVATE BANK","28 Nov 2019","17600.2","17720.05","17567","17698.80"
"NIFTY PRIVATE BANK","27 Nov 2019","17573.6","17615.9","17509.05","17556.45"
"NIFTY PRIVATE BANK","26 Nov 2019","17459.15","17572.2","17361.45","17496.50"
"NIFTY PRIVATE BANK","25 Nov 2019","17121.75","17406.4","17115.4","17390.20"
"NIFTY PRIVATE BANK","22 Nov 2019","17280.7","17284","17091.05","17142.65"
"NIFTY PRIVATE BANK","21 Nov 2019","17339.5","17351.2","17208.75","17255.80"
"NIFTY PRIVATE BANK","20 Nov 2019","17191.6","17356.65","17175.55","17296.60"
"NIFTY PRIVATE BANK","19 Nov 2019","17087.85","17232.2","17058.6","17167.45"
"NIFTY PRIVATE BANK","18 Nov 2019","17074.55","17146","16993.75","17056.65"
"NIFTY PRIVATE BANK","15 Nov 2019","17073.3","17178.1","17038.6","17065.70"
"NIFTY PRIVATE BANK","14 Nov 2019","16950.6","17037.35","16813.9","17014.40"
"NIFTY PRIVATE BANK","13 Nov 2019","17218.25","17277.35","16884.9","16915.65"
"NIFTY PRIVATE BANK","11 Nov 2019","16954.7","17273.35","16930.7","17220.00"
"NIFTY PRIVATE BANK","08 Nov 2019","16846.2","17194.4","16809.7","16996.25"
"NIFTY PRIVATE BANK","07 Nov 2019","16897.2","16958.05","16775.9","16876.20"
"NIFTY PRIVATE BANK","06 Nov 2019","16590.2","16887.1","16487.4","16833.70"
"NIFTY PRIVATE BANK","05 Nov 2019","16762.75","16784.2","16528.3","16584.20"
"NIFTY PRIVATE BANK","04 Nov 2019","16746.5","16875.15","16657","16710.05"
"NIFTY PRIVATE BANK","01 Nov 2019","16638.75","16774.75","16554","16730.15"
"NIFTY PRIVATE BANK","31 Oct 2019","16679.35","16771.2","16505.5","16561.00"
"NIFTY PRIVATE BANK","30 Oct 2019","16670.95","16719.3","16516.2","16596.35"
"NIFTY PRIVATE BANK","29 Oct 2019","16364.45","16662.95","16277.15","16605.30"
"NIFTY PRIVATE BANK","27 Oct 2019","16387.95","16419.05","16325.95","16359.90"
"NIFTY PRIVATE BANK","25 Oct 2019","16275","16309.45","16069.85","16280.45"
"NIFTY PRIVATE BANK","24 Oct 2019","16462.75","16514.2","16141.75","16218.45"
"NIFTY PRIVATE BANK","23 Oct 2019","16427.45","16482.75","16250.3","16377.50"
"NIFTY PRIVATE BANK","22 Oct 2019","16412.2","16551.85","16306.7","16402.40"
"NIFTY PRIVATE BANK","18 Oct 2019","16180.7","16339.95","16126.95","16254.80"
"NIFTY PRIVATE BANK","17 Oct 2019","15962.85","16238.2","15907.95","16204.20"
"NIFTY PRIVATE BANK","16 Oct 2019","16001","16043.05","15794.95","15932.20"
"NIFTY PRIVATE BANK","15 Oct 2019","15767","16006.4","15715","15927.75"
"NIFTY PRIVATE BANK","14 Oct 2019","15750.4","15929.8","15630.75","15722.90"
"NIFTY PRIVATE BANK","11 Oct 2019","15763","15951.4","15464.85","15639.65"
"NIFTY PRIVATE BANK","10 Oct 2019","15970.8","15978","15587.1","15640.55"
"NIFTY PRIVATE BANK","09 Oct 2019","15626.7","16148.85","15528.6","16095.00"
"NIFTY PRIVATE BANK","07 Oct 2019","15622.95","15760","15418.4","15554.90"
"NIFTY PRIVATE BANK","04 Oct 2019","16009.4","16045.3","15470.25","15517.70"
"NIFTY PRIVATE BANK","03 Oct 2019","15976.35","16044.45","15761.35","15867.50"
"NIFTY PRIVATE BANK","01 Oct 2019","16314.6","16476.6","15638.05","16030.00"
"NIFTY PRIVATE BANK","30 Sep 2019","16598.7","16634.65","16150.05","16252.30"
"NIFTY PRIVATE BANK","27 Sep 2019","16809.35","16860.45","16646.45","16711.50"
"NIFTY PRIVATE BANK","26 Sep 2019","16601","17208.95","16593.6","16835.00"
"NIFTY PRIVATE BANK","25 Sep 2019","16736.95","16761.2","16495.15","16576.85"
"NIFTY PRIVATE BANK","24 Sep 2019","16890","17023.6","16602.95","16799.50"
"NIFTY PRIVATE BANK","23 Sep 2019","16645.8","17118.5","16546.95","16960.60"
"NIFTY PRIVATE BANK","20 Sep 2019","14893.65","16297.45","14822.05","16050.75"
"NIFTY PRIVATE BANK","19 Sep 2019","15100.6","15100.6","14756.1","14824.90"
"NIFTY PRIVATE BANK","18 Sep 2019","15197.65","15255.45","15049.15","15096.50"
"NIFTY PRIVATE BANK","17 Sep 2019","15443.7","15493.4","15060.8","15107.25"
"NIFTY PRIVATE BANK","16 Sep 2019","15492.1","15605.25","15445.65","15499.60"
